GEOID,NAME,median_ageE,median_ageM,edu_totalE,edu_totalM,bachelorsE,bachelorsM,mastersE,mastersM,professionalE,professionalM,doctorateE,doctorateM,bachelors_plus,bachelors_plus_moe,bachelors_plus_rate,bachelors_plus_rate_moe
48347,"Nacogdoches County, Texas",31.9,0.5,38116,295,6592,626,2621,361,598,202,934,238,10745,787.175329897984,0.28190261307587366,0.020536525628935473
48153,"Floyd County, Texas",38.3,2.1,3568,114,402,115,97,44,33,28,0,21,532,128.00781226159597,0.1491031390134529,0.035558927580242004
48469,"Victoria County, Texas",36.7,0.4,60159,184,8423,727,2395,422,766,235,385,187,11969,892.6404651370002,0.19895609966920993,0.014825537137956432
48223,"Hopkins County, Texas",39.5,0.5,25476,110,3633,401,1515,315,231,111,194,85,5573,528.745685561594,0.21875490657874078,0.020733154784944658
48025,"Bee County, Texas",35.7,0.8,21261,418,2014,337,722,182,91,60,143,90,2970,397.9861806646055,0.13969239452518697,0.018516502723866353
48119,"Delta County, Texas",40.3,1.6,3887,60,400,117,173,73,4,7,3,6,580,138.21360280377615,0.14921533316182145,0.03548323410394037
48455,"Trinity County, Texas",49.2,1.1,10292,154,1303,241,316,101,82,57,27,30,1728,269.13008007281536,0.16789739603575593,0.02602848390155646
48015,"Austin County, Texas",41.1,0.8,21482,163,3957,467,1097,240,206,90,126,95,5386,541.1229065563571,0.2507215343077926,0.02511765491469751
48151,"Fisher County, Texas",40.5,2.8,2689,91,332,66,101,36,19,18,9,11,461,78.08328886515987,0.17143919672740796,0.02845254268232238
48407,"San Jacinto County, Texas",44,0.5,20035,111,1950,388,783,209,197,140,320,256,3250,528.546119085175,0.16221612178687297,0.026365826048027258
48405,"San Augustine County, Texas",50.5,1.4,5759,151,487,123,190,86,42,33,74,65,793,166.85023224436938,0.13769751693002258,0.02874624546990045
48477,"Washington County, Texas",40.9,1.6,24835,366,5260,468,1639,387,477,195,257,126,7633,650.14921364253,0.3073485001006644,0.02578392335516693
48435,"Sutton County, Texas",42.3,11.5,2299,200,325,134,80,57,16,18,0,15,421,147.49237268414933,0.18312309699869508,0.0621456289512135
48071,"Chambers County, Texas",35.1,0.6,32652,313,5378,708,1304,327,265,169,215,133,7162,808.9765138741668,0.21934337865980644,0.024686329759207946
48377,"Presidio County, Texas",41.2,2,3915,273,832,248,152,103,54,61,59,69,1097,283.89258532057505,0.2802043422733078,0.06983202618172626
48087,"Collingsworth County, Texas",40.4,4.2,1735,154,307,81,90,43,19,18,28,25,444,96.74192472759677,0.2559077809798271,0.05092266414712025
48269,"King County, Texas",49.4,20.7,180,69,61,49,9,15,0,15,0,15,70,53.39475629684998,0.3888888888888889,0.25645808156392985
48345,"Motley County, Texas",52.3,6.1,903,129,117,40,36,20,6,9,15,15,174,48.02082881417188,0.19269102990033224,0.04550029603775233
48061,"Cameron County, Texas",32.7,0.2,257360,230,38820,1875,13763,972,2970,417,1266,271,56819,2169.732471988194,0.22077634442026733,0.0084284201183763
48473,"Waller County, Texas",31.3,1,35538,827,7255,851,2116,395,373,161,172,102,9916,957.3667009040997,0.2790252687264337,0.02614500942534275
48161,"Freestone County, Texas",41.1,0.9,14211,134,1743,256,504,128,74,43,29,30,2350,290.9793807127921,0.16536485820843008,0.02041618628115246
48453,"Travis County, Texas",35.6,0.1,941975,51,329250,4839,147480,3558,31748,1830,24312,1407,532790,6434.581105246868,0.5656094906977361,0.006830878151485283
48495,"Winkler County, Texas",35.1,1.8,4668,126,432,135,64,37,0,21,0,21,496,141.5450458334731,0.1062553556126821,0.03018647313329091
48491,"Williamson County, Texas",37.3,0.2,458124,138,140185,2939,64158,2095,9182,884,8334,726,221859,3786.195716018917,0.4842771825968515,0.008263277756051506
48423,"Smith County, Texas",37.5,0.3,160294,94,30159,1252,11263,978,2389,376,2016,399,45827,1680.6442217197548,0.28589342083920793,0.010483420132130385
48461,"Upton County, Texas",40.8,1.6,2217,120,137,81,51,50,5,13,0,15,193,97.23682430026189,0.08705457825890843,0.043605790667559076
48373,"Polk County, Texas",44,0.5,38342,144,4144,619,1636,294,331,193,89,74,6200,715.7667217746296,0.16170257159250953,0.01865807384628762
48241,"Jasper County, Texas",42.8,0.7,22691,65,2121,375,915,244,23,23,124,70,3183,453.4203347888138,0.14027588030496674,0.019978345962567225
48449,"Titus County, Texas",34.9,0.1,19569,163,2295,326,787,172,81,40,28,21,3191,371.35023899278696,0.1630640298431192,0.018927783966615375
48389,"Reeves County, Texas",34.4,0.6,7867,221,416,148,126,68,8,13,32,31,582,166.30694513459142,0.07397991610524977,0.021037413862836737
48437,"Swisher County, Texas",36.4,1.5,4648,164,561,152,126,57,22,28,10,11,719,165.09996971532127,0.15469018932874354,0.03509879885278253
48173,"Glasscock County, Texas",39.5,7.8,783,107,182,67,28,18,4,7,15,21,229,72.82170006255004,0.29246487867177523,0.0839781107749915
48361,"Orange County, Texas",38.3,0.4,56827,262,7162,785,2113,370,423,191,366,210,10064,913.075024299756,0.17709891424850863,0.016046866899636962
48167,"Galveston County, Texas",38.8,0.4,244454,64,56597,1946,19419,1224,5009,548,4032,605,85057,2439.553442743159,0.34794685298665595,0.009979185470979321
48007,"Aransas County, Texas",49.9,0.9,19444,399,4068,596,1146,251,298,158,90,55,5602,667.9865268102344,0.2881094425015429,0.03384183625727048
48465,"Val Verde County, Texas",32.3,0.7,29064,98,3741,516,2234,457,392,158,182,95,6549,713.5082340099517,0.22533030553261768,0.024537793781117593
48403,"Sabine County, Texas",54.2,0.6,7806,150,763,234,283,141,52,41,20,27,1118,277.5734137124808,0.14322316167050986,0.03545231640293152
48315,"Marion County, Texas",51.3,1.6,7329,176,943,200,149,72,27,39,24,28,1143,217.91970998512272,0.15595579205894392,0.029497089610129895
48257,"Kaufman County, Texas",33.8,0.2,108495,114,20344,1352,7094,867,585,395,723,223,28746,1668.9358885229833,0.2649523019493986,0.015380087041786068
48277,"Lamar County, Texas",39.7,0.8,34480,151,4909,575,1986,325,281,110,263,136,7439,683.2612970160098,0.21574825986078885,0.019793625109372107
48005,"Angelina County, Texas",37.8,0.5,57523,73,6488,586,3173,428,446,138,215,112,10322,747.1064181226126,0.17944126697147228,0.012985963411750269
48507,"Zavala County, Texas",30.8,0.6,5790,256,588,361,34,38,15,28,5,10,642,364.21010419811256,0.11088082901554404,0.06271196500338168
48401,"Rusk County, Texas",39.1,0.5,36376,217,4216,511,1922,316,110,65,129,82,6377,609.8573603720791,0.1753078953155927,0.016732728000731206
48003,"Andrews County, Texas",33,0.6,11259,267,1634,334,245,122,28,26,84,53,1991,360.4511062543712,0.17683630873079315,0.031738642287404854
48395,"Robertson County, Texas",41.4,1.2,11825,139,1770,282,695,189,40,39,101,68,2606,348.4106772187098,0.22038054968287527,0.029349802521888478
48371,"Pecos County, Texas",36.9,1.5,10309,252,839,219,262,114,239,158,110,120,1450,316.7349049283959,0.1406537976525366,0.03053112850712622
48051,"Burleson County, Texas",44.1,1.3,13559,188,2161,337,790,178,208,165,23,21,3182,415.8353039365465,0.2346780736042481,0.030495477246115853
48239,"Jackson County, Texas",41.7,0.8,10505,268,1356,291,317,111,32,37,38,56,1743,318.6016321364346,0.16592099000475963,0.030031726069069446
48351,"Newton County, Texas",46.1,0.7,8875,123,392,138,195,77,3,6,14,22,604,159.66527487215245,0.06805633802816902,0.01796571136500697
48103,"Crane County, Texas",35,1.1,2792,170,264,96,75,61,0,15,13,23,352,117.00854669638453,0.12607449856733524,0.04119945192471333
48237,"Jack County, Texas",40,4.8,6166,165,655,184,183,86,38,32,18,27,894,207.37646925338467,0.14498864742134285,0.033407711856342004
48327,"Menard County, Texas",59.5,7.3,1514,140,252,109,93,66,18,24,0,15,363,130.5296901091855,0.23976221928665786,0.08331565798324782
48053,"Burnet County, Texas",44.1,0.4,38017,121,7228,594,2491,399,750,234,381,157,10850,769.0526639964262,0.2853986374516664,0.020208773428661612
48463,"Uvalde County, Texas",34.5,0.5,15561,166,2121,385,682,210,163,105,113,94,3079,460.6365161382671,0.19786646102435576,0.029526635985918703
48311,"McMullen County, Texas",31.8,13,389,134,75,52,3,4,0,15,0,15,78,54.26785420486054,0.20051413881748073,0.1212065906404491
48187,"Guadalupe County, Texas",37.6,0.3,123845,109,25550,1404,10837,860,1248,261,1289,354,38924,1704.1869028953367,0.31429609592635954,0.013757862901649813
48203,"Harrison County, Texas",38.8,0.5,46241,165,7281,722,2463,388,387,147,353,169,10484,849.7046545712221,0.22672520057957224,0.01835775056700515
48391,"Refugio County, Texas",42.4,1.4,4845,92,539,120,127,59,11,11,2,4,679,134.23114392718256,0.14014447884416925,0.027576984506204504
48057,"Calhoun County, Texas",41.4,1.9,13846,151,1727,298,808,243,46,67,196,85,2777,399.4583833142071,0.20056333959266215,0.028767058569453198
48133,"Eastland County, Texas",43.1,1.3,12336,103,1749,301,758,259,140,93,45,29,2692,408.8667264525202,0.2182230869001297,0.033094069062748144
48155,"Foard County, Texas",49.1,10.7,747,121,133,55,14,12,0,15,7,9,154,58.94913061275798,0.20615796519410978,0.07150074926124597
48073,"Cherokee County, Texas",38.2,0.4,34679,156,4377,484,1745,335,234,97,212,90,6568,603.3158376837127,0.18939415784768882,0.01737627829214094
48063,"Camp County, Texas",38.2,0.9,8329,180,1348,235,380,155,79,60,46,43,1853,291.0309261917022,0.22247568735742587,0.03460951341410374
48141,"El Paso County, Texas",33.6,0.1,549086,110,95601,2968,34808,1510,7091,839,4982,1169,142482,3627.6171242290716,0.25948940603111353,0.006606442022173902
